Nome,Precos,Data
CERVEJA AMERICANA IPA DAMA BIER GARRAFA 600ML,14.99,3/2
CERVEJA AMERICANA LAGER DAMA BIER GARRAFA 600ML,14.99,3/2
CERVEJA BELGIAN ALE DELIRIUM TREMENS GARRAFA 330ML,28.49,3/2
CERVEJA BIER DAMA QI AMERICAN PALE ALE GARRAFA 500ML,14.99,3/2
CERVEJA BIER DAMA WEISSBIER GARRAFA 600ML,14.99,3/2
CERVEJA DINAMARQUESA FAXE WITBIER LATA 500ML,0.0,3/2
CERVEJA FULLERS GOLDEN PRIDE GARRAFA 500ML,32.24,3/2
CERVEJA FULLERS IPA GARRAFA 500ML,32.24,3/2
CERVEJA IPA MANIACS LATA 350ML,5.99,3/2
CERVEJA MATINA ARTESANAL LAGER GARRAFA 600ML,11.99,3/2
CERVEJA MATINA ARTESANAL SESSION IPA GARRAFA 300ML,6.82,3/2
CERVEJA MOLAND OLD SPECKLED HEN LATA 500ML,18.74,3/2
CERVEJA PAULANER WEISSBIER LATA 500ML,16.79,3/2
CERVEJA TRIPEL HOP CITRA DUVEL GARRAFA 330ML,0.0,3/2
CERVEJA URBANA GORDELÍCIA BELGIAN GOLDEN STRONG ALE GARRAFA 500ML,14.99,3/2
CERVEJA WEISS MARACUJÁ TUPINIQUIM LATA 350ML,9.79,3/2
CERVEJA WEST COAST YE IPA TUPI DAMA BIER GARRAFA 600ML,18.74,3/2
