,Nome,Precos
0,Cerveja Wï¿½ls Session Citra Puro Malte 600ml Garrafa,4.999999999999998
1,Cerveja Jamaicana RED STRIPE Lager Garrafa 330ml,0.0
2,Cerveja PATAGONIA WEISSE Garrafa 740ML,0.0
3,Cerveja BADEN BADEN Pilsen Cristal Garrafa 600ml,0.0
4,Cerveja COLORADO Appia Garrafa 600ml,0.0
5,Cerveja LAGUNITAS Ipa Long Neck 355ml,0.0
6,Cerveja BADEN BADEN American Ipa Puro Malte Garrafa 600ml,0.0
7,Cerveja alemï¿½ Paulaner Hefe-weiss 500ml,0.0
8,Cerveja COLORADO Indica Garrafa 600ML,0.0
9,Cerveja BADEN BADEN American Ipa Lata 350ml,0.0
10,Cerveja Heineken Keg 5L ,0.0
11,Kit Cerveja LA TRAPPE DUBBEL Garrafa 750ml,0.0
12,Cerveja Belga HOEGAARDEN Witbier Garrafa 330ml Importada,0.0
13,Cerveja Blue Moon Belgian White Garrafa 355ml,0.0
14,Cerveja IPA Juicy Tupiniquim Garrafa 350ml,0.0
15,Kit com 2 Cervejas Alemï¿½ ERDINGER WEISSBRAU 500ml com 1 Copo de Vidro,0.0
16,Cerveja Guinness Draught In Can 440ml,0.0
17,Cerveja Witbier Baden Baden Garrafa 600ml,0.0
18,Cerveja Eisenbahn Weizenbier Long Neck 355ml,0.0
19,Cerveja COLORADO Ribeirï¿½o Lager 600 ML Garrafa,0.0
20,Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades,0.0
21,Cerveja FABRICA 1959 WITBIER Garrafa 500ml,0.0
22,Cerveja EISENBAHN Pale Ale Puro Malte Long Neck 355ml,0.0
23,Cerveja EISENBAHN American Ipa Puro Malte Lata 350ml,0.0
24,Cerveja BADEN BADEN Cristal Pilsen Lata 350ml,0.0
25,Cerveja EISENBAHN American Ipa Puro Malte Long Neck 355ml,0.0
26,Cerveja COLORADO APPIA 300 ml Garrafa,0.0
27,Cerveja Alemï¿½ PAULANER Hefe Weissbier sem ï¿½lcool Garrafa 500ml,0.0
28,Cerveja Premium Witbier PRAYA 600ml,0.0
29,Cerveja Goose Island Midway Long Neck 355ml,0.0
30,Cerveja Paulaner Weissbier Lata 500ml,0.0
31,Cerveja BADEN BADEN Witbier Lata 350ml,0.0
32,Cerveja Dinamarquesa FAXE Royal Export Lata 1 Litro,0.0
33,Cerveja FRANZISKANER Weissbier Dunkel Garrafa 500ml,0.0
34,Cerveja Belga VEDETT White Garrafa 330ml,0.0
35,Cerveja PATAGONIA Amber Lager Garrafa Long Neck 355ml,0.0
36,Cerveja Alemï¿½ PAULANER Weiss Garrafa 330ml,0.0
37,Cerveja Draft Chopp de Vinho Ice 300ml,0.0
38,Cerveja Invicta Pilsener Garrafa 355ml,-6.99
39,Cerveja PATAGONIA Bohemian Pilsener Garrafa 740ml,0.0
40,Kit com 6 Cervejas BLUE MOON Garrafa 355m Cada,0.0
41,Cerveja Hocus Pocus Pandora Garrafa 500ml,0.0
42,Cerveja MARTINA Artesanal Lager Garrafa 300ml,0.0
43,Cerveja MARTINA Artesanal Witbier Garrafa 300ml,0.0
44,Cerveja IPA Maniacs Lata 350ml,0.0
45,Cerveja TUPINIQUIM Polimango Ipa Lata 350ml,0.0
46,Cerveja Double IPA Citrus Bomb Tupiniquim Garrafa 600ml,0.0
47,Cerveja EISENBAHN Pale Ale Puro Malte Lata 350ml,0.0
48,Cerveja MARTINA Artesanal Witbier Garrafa 600ml,0.0
49,Cerveja BLONDINE Blond Ale Garrafa 500ml,0.0
50,Cerveja Fruit Monjolo Floresta Negra Tupiniquim Garrafa 310ml,0.0
51,Cerveja BLONDINE Horney Pig Sess Ipa Garrafa 500ml,0.0
52,Cerveja TUPINIQUIM Hop Bomb Ipa Lata 350ml,0.0
53,Cerveja Golden Ale Baden Baden Garrafa 600ml,0.0
54,Cerveja BLONDINE Prost Weiss 500ml,0.0
55,Cerveja Dinamarquesa FAXE Witbier Lata 500ml,0.0
56,Cerveja Invicta Damiana Garrafa 500ml,0.0
57,Cerveja DOM HAUS Dom Pedro Helles 600ml,0.0
58,Cerveja Summer Ipa TUPINIQUIM Lata 350ml,0.0
59,Cerveja Bock Tiï¿½o Black Princess Garrafa 600ml,0.0
60,Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml,0.0
61,Cerveja Dinamarquesa FAXE Witbier Lata 1 Litro,0.0
62,Cerveja MARTINA Artesanal Session Ipa Garrafa 600ml,0.0
63,Cerveja Weizen Iniciaï¿½ï¿½o Invicta Garrafa 500ml,0.0
64,Cerveja LEUVEN Golden Ale KING Garrafa 500ml,0.0
65,Cerveja Pale Ale Premium TUPINIQUIM Lata 350ml,0.0
66,Cerveja Bier DAMA QI American Pale Ale Garrafa 500ml,0.0
67,Cerveja Patagonia Bohemian Pilsener 355ml Long Neck,0.0
68,Kit Caneca + 2 Cervejas Mï¿½nchner Helles Original HB 500ml Cada,0.0
69,Cerveja Leffe Blonde 330ml Long Neck,0.0
70,Cerveja Dinamarquesa FAXE Royal Lata 500ml,0.0
71,"[""Cerveja Fuller's Ipa Garrafa 500ml""]",0.0
72,Cerveja Dinamarquesa FAXE Premium Lata 1 Litro,0.0
73,Cerveja IPA Three Monkeys Garrafa 500ml,0.0
74,Cerveja LEUVEN Dubbel com Cacau MONK Garrafa 500ml,0.0
75,Cerveja Americana Lager DAMA Bier Garrafa 600ml,0.0
