Nome,Precos
['Cerveja Belgian Ale Delirium Tremens Garrafa 330ml'],"['R$37,99']"
['Cerveja MORLAND Old Speckled Hen Lata 500ml'],"['R$24,99']"
['Kit Cerveja BLUE MOON Garrafa 355ml com 24 unidades'],"['R$383,76']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 300ml'],"['R$9,09']"
['Cerveja Americana Ipa DAMA Bier Garrafa 600ml'],"['R$19,99']"
"[""Cerveja Fuller's Golden Pride Garrafa 500ml""]","['R$42,99']"
['Cerveja IPA Maniacs Lata 350ml'],"['R$7,99']"
['Cerveja MARTINA Artesanal Session Ipa Garrafa 600ml'],"['R$00,00']"
['Cerveja West Coast Rye IPA Tupi Dama Bier Garrafa 600ml'],"['R$24,99']"
['Cerveja MARTINA Artesanal Lager Garrafa 600ml'],"['R$15,99']"
['Cerveja Bier DAMA QI American Pale Ale Garrafa 500ml'],"['R$19,99']"
['Cerveja Tripel Hop Citra Duvel Garrafa 330ml'],"['R$31,99']"
['Cerveja Bier DAMA Weissbier Garrafa 600ml'],"['R$19,99']"
['Cerveja BLONDINE Blond Ale Garrafa 500ml'],"['R$00,00']"
['Cerveja Weiss Maracujá TUPINIQUIM Lata 350ml'],"['R$13,99']"
['Cerveja Americana Lager DAMA Bier Garrafa 600ml'],"['R$19,99']"
"[""Cerveja Fuller's Ipa Garrafa 500ml""]","['R$42,99']"
['Cerveja MARTINA Artesanal Lager Garrafa 300ml'],"['R$00,00']"
['Cerveja Urbana Gordelícia Belgian Golden Strong Ale Garrafa 500ml'],"['R$19,99']"
