Nome,Precos
['Cerveja HEINEKEN Lata 350ml'],"['R$4,65']"
['Cerveja LAGUNITAS Ipa Long Neck 355ml'],"['R$8,99']"
['Cerveja AMSTEL Puro Malte Lata 350ml'],"['R$3,19']"
['Cerveja BADEN BADEN American Ipa Lata 350ml'],"['R$5,39']"
['Cerveja Stella Artois Puro Malte 269ml Lata'],"['R$3,39']"
['Cerveja Lager Puro Malte Amstel Lata 269ml'],"['R$2,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Lata 350ml'],"['R$4,69']"
['Cerveja EISENBAHN Pilsen Puro Malte Lata 350ml'],"['R$3,99']"
['Cerveja BADEN BADEN Pilsen Cristal Garrafa 600ml'],"['R$12,89']"
['Cerveja Eisenbahn Weizenbier Long Neck 355ml'],"['R$5,29']"
['Cerveja HEINEKEN Garrafa 250ml'],"['R$3,89']"
['Cerveja Belga HOEGAARDEN Witbier Garrafa 330ml Importada'],"['R$5,99']"
['Cerveja HEINEKEN Garrafa 600ml'],"['R$9,99']"
['Cerveja Stella Artois Puro Malte 275ml Long Neck'],"['R$4,49']"
['Cerveja COLORADO Appia Garrafa 600ml'],"['R$10,99']"
['Cerveja BADEN BADEN Cristal Pilsen Lata 350ml'],"['R$5,39']"
['Cerveja Heineken Keg 5L '],"['R$79,99']"
['Cerveja Budweiser American Lager 269ml Lata'],"['R$3,19']"
['Cerveja Corona Extra Pilsen 330ml Long Neck'],"['R$5,99']"
['Cerveja Brahma Duplo Malte Puro Malte 350ml Lata'],"['R$3,19']"
['Cerveja BADEN BADEN Witbier Lata 350ml'],"['R$5,39']"
['Cerveja EISENBAHN American Ipa Puro Malte Long Neck 355ml'],"['R$5,29']"
['Cerveja Guinness Draught In Can 440ml'],"['R$23,99']"
['Kit com 6 Cervejas BLUE MOON Garrafa 355m Cada'],"['R$95,94']"
['Cerveja Mexicana SOL Garrafa 330ml - Caixa com 24 Unidades'],"['R$102,96']"
['Cerveja Americana Lager DAMA Bier Garrafa 600ml'],"['R$19,99']"
['Cerveja Lager Puro Malte Brooklyn Garrafa 355ml'],"['R$19,99']"
